"","standard_value","Binary","assay_type","not_sure","rdkit"
"41",8.52287874528034,1,"binding",0,"CN(C)CCNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2"
"42",6.45842075605342,0,"binding",1,"CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(Cc3ccccc3)c3ccccc3)c2)[nH]1"
"43",7.09151498112135,1,"binding",1,"CC(C)Nc1cc(-c2nc3ccccc3nc2-c2ccc(F)cc2)ccn1"
"44",6.73518217699046,0,"binding",1,"OCCSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1"
"45",7.37236374744835,1,"binding",1,"CC1(C)OC[C@H](COc2ccc3c(c2)C(=O)c2ccc(Nc4ccccc4N)cc2CC3)O1"
"46",7.35654732351381,1,"binding",1,"CNC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1Cl"
"47",5,0,"binding",0,"Cc1cccc(-c2[nH]c(CNC(=O)c3ccccc3F)nc2-c2ccc3ncnn3c2)n1"
"48",7.09691001300806,1,"binding",1,"COC(=O)c1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21"
"49",5.93144310492764,0,"binding",0,"Nc1ccc(Nc2ccc3c(c2)CCc2ccccc2C3=O)cc1"
"50",6.09854167860389,0,"binding",1,"Cn1nc(C(C)(C)C)cc1NC(=O)Nc1cccc(-c2ccccc2)c1"
"51",6.41566877563247,0,"binding",1,"Cc1cccc(-c2[nH]c(CNc3cc(C#N)cc(CN4CCOCC4)c3)nc2-c2ccc3ncnn3c2)n1"
"52",7.49485002168009,1,"binding",1,"Cc1ccc(C(=O)NC2CC2)cc1NC(=O)c1ccc2cc[nH]c2c1"
"53",5.45593195564972,0,"binding",0,"Cc1ccc(-c2ncnc3nc[nH]c23)cc1NC(=O)c1ccc(OCc2ccccn2)cc1"
"54",5.59898903766176,0,"binding",0,"Cc1ccc(Sc2ccc3c(-c4c(Cl)cccc4Cl)c(=O)ncn3n2)cc1C"
"55",7,1,"binding",1,"COc1ccc(C(=O)Nc2cc(NC(=O)c3cccc(N(C)C)c3)ccc2C)c(OC)c1"
"56",7.74472749489669,1,"binding",0,"Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCc3ccnc(NS(C)(=O)=O)c3)c3ccccc23)cc1"
"57",7.96257350205938,1,"binding",0,"O=C(Cc1c(F)cccc1Cl)Nc1onc(-c2ccc(F)cc2)c1-c1ccncn1"
"58",8.04575749056067,1,"binding",0,"O=c1c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc2n1C1CC1"
"59",8.69897000433602,1,"binding",0,"CCOC(=O)c1cn2ncnc(Nc3cc(NC(=O)c4cc(F)cc(N5CCOCC5)c4)ccc3C)c2c1C"
"60",7.39794000867204,1,"binding",1,"O=C(Nc1cccc(Nc2ccc3c(c2)CCc2ccccc2C3=O)c1)c1ccc(F)cc1"
"61",7.56066730616974,1,"binding",0,"O=C1C(O)Cc2c(-c3ccccc3Cl)cccc2N1c1c(Cl)cccc1Cl"
"62",8.52287874528034,1,"binding",0,"CNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2"
"63",8.42596873227228,1,"binding",0,"Fc1ccc(-c2ncoc2-c2ccc3nnc(C4CCC4)n3c2)c(F)c1"
"64",4.85387196432176,0,"binding",0,"Cc1ccc(-c2nccs2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1"
"65",7.39794000867204,1,"binding",1,"COc1ccc2c(c1)C(=O)c1ccc(Nc3ccccc3N)cc1CC2"
"66",7.49485002168009,1,"binding",1,"CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc(S(C)(=O)=O)cc2)n1"
"67",8.0479398932619,1,"binding",0,"Cc1ccc(NC(=O)c2ccoc2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O"
"68",6.88605664769316,0,"binding",1,"O=C(Nc1cccc(Nc2ccc3c(c2)CCCCC3=O)c1)c1cccc(N2CCOCC2)c1"
"69",5.42250820016277,0,"binding",0,"Cc1cccc(-c2nc(NCc3cccc(C#N)c3)sc2-c2ccc3ncnn3c2)n1"
"70",6.82102305270683,0,"binding",1,"Nc1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3N)cc1OC2"
"71",6.64830271772593,0,"binding",1,"COC(=O)NCC(=O)NCc1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccccc2)c1"
"72",7.69897000433602,1,"binding",0,"Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2ccccc2Oc2ccnc(Cl)n2)cc1"
"73",8.30102999566398,1,"binding",0,"CCNc1c(C(=O)Nc2cc(C(=O)Nc3ccon3)ccc2C)cnn1-c1ccccc1C"
"74",7.04575749056067,1,"binding",1,"CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)C(C)c3ccc(CC(C)C)cc3)c2)[nH]1"
"75",6.92081875395237,0,"binding",1,"CC(C)(C)c1ccc(NC(=O)Nc2cccc(Cl)c2Cl)s1"
"76",8.52287874528034,1,"binding",0,"O=C(Nc1ccc(F)c(Nc2ccc3c(c2)OCc2ccc(OCCN4CCOCC4)cc2C3=O)c1)c1ccccc1"
"77",7.95873897908669,1,"binding",0,"COc1cc(-c2ccc(F)cc2F)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2"
"78",8.52287874528034,1,"binding",0,"CC[C@H](C)NC(=O)c1cn2ncnc(Nc3cc(C(=O)NOC)ccc3C)c2c1C"
"79",7.35654732351381,1,"binding",1,"O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2ccc(C(=O)N3CCOCC3)cc21"
"80",6.2518119729938,0,"binding",1,"O[C@H]1CC[C@H](Nc2ncc3nc(Nc4ccc(F)cc4F)n(C4CCCC4)c3n2)CC1"
"81",4.79588001734407,0,"binding",0,"Cc1nnc(-c2cccc(-c3ccc(C(=O)NCC4CC4)cc3C)c2)o1"
"82",6.05998184499234,0,"binding",1,"Fc1ccc(-c2nocc2-c2ccncc2)cc1"
"83",5.92081875395237,0,"binding",0,"O=C(Nc1ccccc1)c1cccc(Nc2ccc3c(c2)CCc2ccccc2C3=O)c1"
"84",7.92081875395237,1,"binding",0,"O[C@H]1CC[C@H](n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Oc3ccccc3)n2)CC1"
"85",7.42021640338319,1,"binding",1,"COCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC2CCOCC2)c1"
"86",5,0,"binding",0,"Cc1cccc(C)c1-n1c(=O)c2cnc(Nc3ccc(OCCCN(C)C)cc3)nc2n2c3ccccc3nc12"
"87",8.08092190762393,1,"binding",0,"CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(Cl)cc3Cl)cn12"
"88",6,0,"binding",0,"N#Cc1cccc(Cn2cnc(-c3ccnc(N)n3)c2-c2ccc(F)cc2)c1"
"89",6.81586402453631,0,"binding",1,"O=c1ncn2nc(Sc3ccc(F)cc3)ccc2c1-c1c(Cl)cccc1Cl"
"90",8.49485002168009,1,"binding",0,"Cc1ccc(C(N)=O)cc1NC(=O)c1cnc(NC(C)C)s1"
"91",5.02410886359821,0,"binding",0,"CC(C)C(C)Nc1cc(-c2nc3cc(Cl)c(Cl)cc3nc2-c2ccc(F)cc2)ccn1"
"92",4,0,"binding",0,"Cc1ccccc1Cc1ccc(Nc2ccc(F)cc2N)cc1Cl"
"93",8.63827216398241,1,"binding",0,"CC(C)(C)Cn1cnc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3F)nc21"
"94",9.15490195998574,1,"binding",0,"O=C(Nc1cc(Nc2ccc3c(c2)CCc2ccc(OCCN4CCOCC4)cc2C3=O)ccc1F)c1cccs1"
"95",8.92081875395237,1,"binding",0,"CCn1c(=O)c(-c2cc(C(=O)NC3CC3)cc(F)c2C)cc2nnc(-c3c(F)cccc3Cl)n21"
"96",7.03151705144607,1,"binding",1,"CSc1nc(-c2cccc(C(F)(F)F)c2)c(-c2ccnc(NCC(C)c3ccccc3)c2)[nH]1"
"97",6.76582633479392,0,"binding",1,"Cn1c(-c2c[nH]nn2)nc(-c2ccc(F)cc2)c1-c1ccncc1"
"98",6.45361161520754,0,"binding",1,"CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)Cn3ccnc3)c2)n1"
"99",7.42021640338319,1,"binding",1,"CCc1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21"
"100",7.16749108729376,1,"binding",1,"CC(=O)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3)c2-c2ccncc2)CC1"
"101",6.18243463044022,0,"binding",1,"CCSc1nc(-c2cccc(C(F)(F)F)c2)c(-c2ccnc(F)c2)[nH]1"
"102",5.89551820985786,0,"binding",0,"CCc1ccccc1Sc1ccc2c(-c3c(Cl)cccc3Cl)c(=O)ncn2n1"
"103",7.46852108295774,1,"binding",1,"Cc1ccc(NC(=O)c2ccsc2)cc1-c1ccc(C(=O)NCC2CC2)cc1"
"104",5.52287874528034,0,"binding",0,"COc1ccc(Nc2ncc3nc(Nc4ccccc4F)n(C4CCCC4)c3n2)cc1"
"105",8.18708664335714,1,"binding",0,"Cc1noc(C)c1-c1nncc2nc(Oc3ccc(F)cc3F)ccc12"
"106",8.95860731484177,1,"binding",0,"O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(C4CC4)CC3)cc2N1c1c(Cl)cccc1Cl"
"107",7.65757731917779,1,"binding",0,"CNC(=O)c1ccc(C)c(NC(=O)c2cnc(NCCOC)s2)c1"
"108",6.74472749489669,0,"binding",1,"COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1Cl"
"109",4,0,"binding",0,"O=c1cc(-c2[nH]c(-c3ccc(-c4cn(CCP(=O)([O-])[O-])nn4)cc3)nc2-c2ccc(F)cc2)cc[nH]1"
"110",8.95860731484177,1,"binding",0,"O=C(c1cc(-c2ccc(F)cc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2)N1CCNCC1"
"111",8.27572413039921,1,"binding",0,"Nc1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2"
"112",7.58057545463137,1,"binding",0,"NC(=O)Oc1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1"
"113",10,1,"binding",0,"O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl"
"114",5.32239304727951,0,"binding",0,"N#Cc1cccc(C(=O)c2cnn(-c3ccc(F)cc3)c2N)c1"
"115",5.64975198166584,0,"binding",0,"CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1CCC(=O)N1CCCCC1"
"116",7.97034588642428,1,"binding",0,"Cc1ccc(C)c(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1"
"117",5.57675412606319,0,"binding",0,"COc1ccccc1-c1cc(-c2ccc(Cl)cc2)[nH]c1-c1ccncc1"
"118",5.8153085691824,0,"binding",0,"CCc1ccccc1NCc1nc(-c2ccc3ncnn3c2)c(-c2cccc(C)n2)[nH]1"
"119",6.05551732784983,0,"binding",1,"Cc1ncc(-c2ccc(C)c(-c3ccc4c(c3)NC(=O)C43CCOCC3)c2)[nH]1"
"120",7.15490195998574,1,"binding",1,"CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCc3ccccn3)c2)[nH]1"
"121",6.82317650179486,0,"binding",1,"CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)CNC=O)c2)n1"
"122",6.10237290870956,0,"binding",1,"O=c1ccc(Nc2ccccc2Cl)nn1-c1ccccc1Cl"
"123",8.05551732784983,1,"binding",0,"CCC(=O)Nc1cc(-c2sc(CC)nc2-c2cccc(C)c2)ccn1"
"124",8.95860731484177,1,"binding",0,"Cc1c(F)cc(C(=O)NC2CC2)cc1-c1cc2nnc(-c3c(F)cccc3Cl)n2n(C)c1=O"
"125",5.09691001300806,0,"binding",0,"Cc1cccc(C)c1OC(=O)N(c1cccc(-c2ccccc2)c1)c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1"
"126",7.33724216831843,1,"binding",1,"Cc1ccc(C(=O)NC2CC2)cc1NC(=O)c1ccc(-c2ccc(Cl)cc2)o1"
"127",5,0,"binding",0,"CN1CCN(c2ccc(Nc3ncc4c(=O)n(-c5c(Cl)cc(Cl)cc5Cl)c5nc6ccccc6n5c4n3)cc2)CC1"
"128",7.26881597723874,1,"binding",1,"Cc1ccc(C(=O)NC2CCC2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O"
"129",8.30102999566398,1,"binding",0,"Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1"
"130",9.09691001300806,1,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCC(C)(O)CC1"
"131",6.56066730616974,0,"binding",1,"Cc1ccc(C(=O)NC(C)(C)C)cc1-c1ccc2c(c1)NC(=O)C21CCCC1"
"132",7.59687947882418,1,"binding",0,"Fc1ccc(-c2n[nH]c(C3CCNCC3)c2-c2ccncc2)cc1"
"133",6.73282827159699,0,"binding",1,"Fc1ccc(-c2c(-c3ccncc3)n(CCN3CCOCC3)c3cccnc23)cc1"
"134",6.93930215964639,0,"binding",1,"O=C(Nc1cc(-c2c(-c3ccc(F)cc3)nc3n2CCS3)ccn1)c1cc2ccccc2o1"
"135",6.06550154875643,0,"binding",1,"CS(=O)(=O)N[C@H]1CC[C@H](Nc2ncc3nc(Nc4ccc(F)cc4F)n(C4CCOCC4)c3n2)CC1"
"136",5.94309514866353,0,"binding",0,"CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1CCC(=O)N1CCCC1"
"137",5.92081875395237,0,"binding",0,"Cc1cccc(C)c1OC(=O)N(c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1)c1ccc(F)cc1OC(C)C"
"138",7.69897000433602,1,"binding",0,"O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2cc(OCCO)ccc21"
"139",8.69897000433602,1,"binding",0,"CCn1nccc1NC(=O)c1ccc(C)c(NC(=O)c2cnn(-c3ccc(F)cc3)c2N)c1"
"140",8.42021640338319,1,"binding",0,"Cc1ccc(C(=O)Nc2ccon2)cc1NC(=O)c1cnc(NC(C)C)s1"
"141",5.65169513695184,0,"binding",0,"Cc1cccc(-c2[nH]c(CNc3cccc(C#N)c3CN3CCOCC3)nc2-c2ccc3ncnn3c2)n1"
"142",5.84163750790475,0,"binding",0,"C[C@@H](C(=O)O)n1cc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)n2C)nn1"
"143",6.72124639904717,0,"binding",1,"O=C(O)c1ccc(-n2cc(-c3nc(-c4ccc(F)cc4)c(-c4ccncc4)o3)nn2)cc1"
"144",4.72623571177011,0,"binding",0,"Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cl)cc1"
"145",9.22184874961636,1,"binding",0,"CC(C)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1"
"146",5.85387196432176,0,"binding",0,"Fc1ccc(-c2cc(-c3ccc(Cl)cc3)[nH]c2-c2ccncc2)cc1"
"147",4.69897000433602,0,"binding",0,"COc1ccc(C(=O)N(C)c2cc(NC(=O)c3cccc(N(C)C)c3)ccc2C)cc1OC"
"148",5.76955107862173,0,"binding",0,"CC(C)(C)c1cc(CN2CCS(=O)(=O)CC2)c(NC(=O)Nc2ccc(Cl)cc2)s1"
"149",7.88605664769316,1,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1NC(=O)c1ccc(-c2cccnc2)s1"
"150",6.61978875828839,0,"binding",1,"Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1Nc1cc(Cl)ncn1"
"151",7.09466555212173,1,"binding",1,"Nc1ccccc1Nc1ccc2c(c1)CCc1ccccc1C2=O"
"152",7.34678748622466,1,"binding",1,"CC(C)CC(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)cc2)cc1"
"153",5.02045162529591,0,"binding",0,"Nc1c(C(=O)c2cccc(C(O)(CO)CO)c2)cnn1-c1ccc(F)cc1"
"154",7.69897000433602,1,"binding",0,"O=C(Nc1cccc(Nc2ccc3c(c2)OCc2ccccc2C3=O)c1)c1ccsc1"
"155",4.82390874094432,0,"binding",0,"Cc1ccc(-c2nccn2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1"
"156",6.49485002168009,0,"binding",1,"Cc1cc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1"
"157",5.38721614328026,0,"binding",0,"Cc1cccc(-c2[nH]c(CNc3cccc(CN4CCCC4)c3F)nc2-c2ccc3ncnn3c2)n1"
"158",7.09691001300806,1,"binding",1,"CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCC3CCCCC3)c2)[nH]1"
"159",9.22184874961636,1,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(OC(C)C)cncc2c1"
"160",7.88605664769316,1,"binding",0,"CNC(=O)c1ccc(C)c(Nc2ncnc3c2cnn3C(C)(C)C)c1"
"161",5.79588001734407,0,"binding",0,"CNc1ncc2cc(-c3c(C)ccc4c(Nc5ccc(Cl)cc5)nccc34)ccc2n1"
"162",6.59516628338006,0,"binding",1,"CNc1ncc(C(=O)Nc2cc(C(=O)Nc3cccc(C(F)(F)F)c3F)ccc2C)c(OC)n1"
"163",7.74472749489669,1,"binding",0,"CNc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1"
"164",8.09691001300806,1,"binding",0,"CONC(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)NC4CCCC4)c(C)c23)c1"
"165",7.52287874528034,1,"binding",0,"CCC(C)Nc1cc(-c2c(-c3ccc(F)cc3)noc2C(C)C)ccn1"
"166",9.08618614761628,1,"binding",0,"[O-][n+]1ccc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)nc2c1-c1c(Cl)cccc1Cl"
"167",6,0,"binding",0,"Cn1c(=O)cc(NC2CCOCC2)c2cnn(-c3cccc(F)c3)c21"
"168",7.61978875828839,1,"binding",0,"O=C(Nc1ccc(F)c(Nc2ccc3c(c2)OCc2ccccc2C3=O)c1)c1ccccc1"
"169",6.50863830616573,0,"binding",1,"CCOCCOc1ccc(C(=O)Nc2cc(NC(=O)c3cccc(N(C)C)c3)ccc2C)cc1"
"170",8.26143937264017,1,"binding",0,"CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(CNC(=O)CCC(=O)O)c2)n1"
"171",6.53760200210104,0,"binding",1,"CCCCOC(=O)c1ccc(NC(=O)Nc2cc(C(C)(C)C)nn2C)cc1"
"172",6.95860731484177,0,"binding",1,"CNC(=O)c1ccc(C)c(N2Cc3nc(NC4CCCC4)sc3C2=O)c1"
"173",7.88605664769316,1,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1-c1cnc2c(c1)NC(=O)C21CCOCC1"
"174",4.52287874528034,0,"binding",0,"Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1"
"175",6.47495519296315,0,"binding",1,"COC(Cn1c(S/C=C\C(=O)O)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1)OC"
"176",6.57024771999759,0,"binding",1,"Cc1ccc(C(=O)NC(C)(C)C)cc1Nc1cc(=O)n(C)c2c1cnn2-c1ccc(F)cc1F"
"177",7.26154463164166,1,"binding",1,"O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl"
"178",7.39794000867204,1,"binding",1,"O=C1c2ccc(Oc3ccc(F)cc3F)cc2CCc2ccc(OC[C@@H](O)CO)cc21"
"179",7.15490195998574,1,"binding",1,"COc1ccc2c(c1)C(=O)c1ccc(Nc3ccccc3)cc1CC2"
"180",8.35654732351381,1,"binding",0,"CC(C)S(=O)(=O)n1c(N)nc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3F)cc21"
"181",6.53760200210104,0,"binding",1,"Cn1c(-c2cn(-c3cccc(C(=O)NCCCO)c3)nn2)nc(-c2ccc(F)cc2)c1-c1ccncc1"
"182",5.64016451766011,0,"binding",0,"Cc1cccc(-c2[nH]c(CNc3ccccc3)nc2-c2ccc3ncnn3c2)n1"
"183",8,1,"binding",0,"O=C(Nc1ccc(F)c(Nc2ccc3c(c2)OCc2c(OCCN4CCOCC4)cccc2C3=O)c1)c1ccccc1"
"184",7.1249387366083,1,"binding",1,"CCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(=O)/C=C/c2ccc(OC)cc2)c1"
"185",5.79588001734407,0,"binding",0,"Cc1ccc2c(Nc3cccc(C(F)(F)F)c3)nccc2c1Nc1ncccc1-c1ccncn1"
"186",6.85387196432176,0,"binding",1,"CCNc1ncc(C(=O)Nc2c(C)cccc2Cl)s1"
"187",8.12785350843866,1,"binding",0,"Cc1nnc(-c2ccc(C)c(-c3ccc4c(c3)NC(=O)C43CCCC3)c2)[nH]1"
"188",7.82856232674116,1,"binding",0,"Cc1ccc(NC(=O)c2cccc(N3CCOCC3)c2)cc1NC(=O)c1ccc(OCc2cscn2)cc1"
"189",6.95416652120216,0,"binding",1,"O=C1c2ccccc2CCc2cc(Nc3ccc(F)cc3F)ccc21"
"190",7.88605664769316,1,"binding",0,"Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Sc2ccncc2)cc1"
"191",7.56863623584101,1,"binding",0,"O=C1c2ccc(OC[C@@H](O)CO)cc2COc2cc(Nc3ccc(F)cc3F)ccc21"
"192",8.52287874528034,1,"binding",0,"CC(C)c1nnc2ccc(-c3ocnc3-c3ccccc3Cl)cn12"
"193",6.09691001300806,0,"binding",1,"CCn1c(=O)n(CC)c2cc(-c3ocnc3-c3cccc(C)c3)ccc21"
"194",7.88605664769316,1,"binding",0,"CCCC(=O)Nc1cc(-c2sc(CC)nc2-c2cccc(C)c2)ccn1"
"195",6.76955107862173,0,"binding",1,"C=CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC)n2CCOC)ccn1"
"196",5.24412514432751,0,"binding",0,"CC(C)(C)c1cc(NC(=O)Nc2ccc3ccccc3c2)c(CN2CCS(=O)(=O)CC2)s1"
"197",7.9961600611477,1,"binding",0,"CSc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)cc1"
"198",7.15490195998574,1,"binding",1,"COc1ccc2c(c1)CCc1cc(Nc3ccccc3N)ccc1C2=O"
"199",8.08618614761628,1,"binding",0,"O=c1c(-c2ccc(F)cc2)c(-c2ccncc2)c2ccccc2n1CCc1ccccc1"
"200",7.75202673363819,1,"binding",0,"CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(Cl)cc3)cn12"
"201",8.6259059864969,1,"binding",0,"O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2c(F)cccc2F)c1"
"202",7.07133375178437,1,"binding",1,"CC1(C)OC[C@H](COc2ccc3c(c2)CCc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1"
"203",8.85387196432176,1,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCC1"
"204",6.86966623150499,0,"binding",1,"Cc1ccc(-c2nnc(C3CC3)[nH]2)cc1-c1ccc2c(c1)NC(=O)C21CCCC1"
"205",5.49620931694282,0,"binding",0,"Fc1ccc(-c2nc3ncccc3nc2-c2ccncc2)cc1"
"206",6.55284196865778,0,"binding",1,"Cc1nnc(-c2ccc(C)c(-c3ccc(C(=O)NCc4ccc(NS(C)(=O)=O)cc4)cc3)c2)o1"
"207",8.924742501084,1,"binding",0,"COC(=O)c1cc(-c2ccccc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2"
"208",7.4089353929735,1,"binding",1,"CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc([N+](=O)[O-])cc2)n1"
"209",7.88605664769316,1,"binding",0,"Cc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1C"
"210",8.82390874094432,1,"binding",0,"O[C@H]1CC[C@H](n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccccc3)n2)CC1"
"211",6.49894073778225,0,"binding",1,"Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3ccc(OCc4ccccc4)cc3)n2)cc1"
"212",5.52287874528034,0,"binding",0,"CC(C)(O)[C@H]1CC[C@@H](c2ncc3nc(Nc4ccc(F)cc4F)n(C4CCOCC4)c3n2)C1"
"213",7.95860731484177,1,"binding",0,"CS(=O)(=O)c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)cc1"
"214",5.48681509421314,0,"binding",0,"O=c1c2ccccc2ccc2cc(Nc3ccc(F)cc3F)ccc12"
"215",8.52287874528034,1,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1Nc1nncc2c1cnn2-c1ccc(F)cc1F"
"216",7.15490195998574,1,"binding",1,"Cc1cccc(-c2nc(C3CCNCC3)[nH]c2-c2ccc3c(c2)n(C)c(=O)n3C)c1"
"217",5.03151705144607,0,"binding",0,"Cc1cccc(-c2[nH]c(CNc3ccc(Cl)cc3)nc2-c2ccc3ncnn3c2)n1"
"218",8.19382002601611,1,"binding",0,"CC(C)(C)Cn1c(N)nc2ccc(-c3[nH]c(-c4c(F)cccc4F)nc3-c3ccccc3)nc21"
"219",9.30102999566398,1,"binding",0,"O=C1NCc2c(-c3ccccc3Cl)cc(NC3CCNCC3)cc2N1c1c(Cl)cccc1Cl"
"220",7.6903698325741,1,"binding",0,"Cc1nc(-c2ccccc2)c(-c2ccc3nc(N)n(S(=O)(=O)C(C)C)c3c2)[nH]1"
"221",6.99567862621736,0,"binding",1,"Cc1ccccc1C(=O)c1ccc(N(C)c2ccccc2N)cc1Cl"
"222",7.69897000433602,1,"binding",0,"CCc1nc(-c2cccc(C)c2)c(-c2ccnc(N)c2)s1"
"223",6.20065945054642,0,"binding",1,"CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1"
"224",9.39794000867204,1,"binding",0,"CCOc1ccccc1-c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12"
"225",8.07058107428571,1,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1Oc1cc(=O)n(C)c2c1cnn2-c1cccc(F)c1"
"226",7.95860731484177,1,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1Nc1ncnn2cc(C(=O)c3c[nH]c4ccccc34)c(C)c12"
"227",6,0,"binding",0,"Cc1cccc(-c2nn(CC(=S)Nc3ccccc3)cc2-c2ccc3nccnc3c2)n1"
"228",5.79588001734407,0,"binding",0,"CNc1cc(-c2cccnc2Nc2c(C)ccc3c(Nc4ccc(C#N)cc4)nccc23)ncn1"
"229",5,0,"binding",0,"Cc1cccc(-c2sc(NCc3cccc(C#N)c3)nc2-c2ccc3ncnn3c2)n1"
